model_name,dimensions
7500100022,~810 x ~2490 x ~1740 mm
K5231187H,~810 x ~2490 x ~1740 mm
7500100023,~810 x ~2490 x ~1740 mm
K5231188H,~810 x ~2490 x ~1740 mm
7500100024,~810 x ~2490 x ~1740 mm
7500100025,~810 x ~1740 x ~2490 mm
K5231187V,~810 x ~1740 x ~2490 mm
7500100026,~810 x ~1740 x ~2490 mm
K5231188V,~810 x ~1740 x ~2490 mm
7500100027,~810 x ~1740 x ~2490 mm
601694,~2490 x ~1740 x ~850 mm
K523417,~2490 x ~1740 x ~850 mm
75010008,~2490 x ~1740 x ~850 mm
752183,~2490 x ~1740 x ~850 mm
601768,~2200 x ~830 mm
K5332187,~2200 x ~830 mm
601979,~2200 x ~830 mm
K5332188,~2200 x ~830 mm
762943,~1380 x ~830 mm
763715,~1380 x ~830 mm
775130,~1380 x ~830 mm
770777,~1822 x ~1300 mm
770776,~1822 x ~1300 mm
600263,~1400 x ~1700 mm
K524017,~1400 x ~1700 mm
75010285,~1489 x ~1778 mm
75010286,~1489 x ~1778 mm
75010287,~1489 x ~1778 mm
75010350,~1300 x ~1300 x ~400 mm
75010351,~1300 x ~1300 x ~400 mm
75010352,~1300 x ~1300 x ~400 mm
7500100040,~1300 x ~1300 x ~443 mm
600256,~1200 x ~1200 x ~360 mm
K523157,~1200 x ~1200 x ~360 mm
75010085,~1300 x ~1300 x ~465 mm
75010242,~960 x ~850 mm
75010295,~2326 x ~460 x ~520 x ~1280 mm
75010296,~2326 x ~460 x ~520 x ~1280 mm
75010297,~2326 x ~460 x ~520 x ~1280 mm
75010365,~2625 x ~900 x ~870 mm
75010366,~2625 x ~900 x ~870 mm
75010367,~2625 x ~900 x ~870 mm
75010368,~2625 x ~900 x ~870 mm
75010210,1000 x 190 x 500 mm
75010211,1000 x 190 x 500 mm
75010212,1000 x 190 x 500 mm
75010213,1000 x 190 x 500 mm
601709,910 x 190 x 1020 mm
K733147,910 x 190 x 1020 mm
776165,910 x 190 x 1020 mm
776202,910 x 190 x 1020 mm
776167,910 x 190 x 1020 mm
7500000044,1020 x 64 mm
7500000049,1020 x 64 mm
7500100018,1020 x 64 mm
7500100031,1020 x 64 mm
7500100041,3.2 m height
7500100042,5.0 m height
7500100007,1.2 m height
7500100020,2.5 m height
75010270,"0.8 m height, 230 mm diameter"
75010271,"1.2 m height, 230 mm diameter"
75010272,"2.0 m height, 230 mm diameter"
75010066,"1.4 m height, 330 mm diameter"
75010067,"2.4 m height, 330 mm diameter"
75010068,"4.8 m height, 330 mm diameter"
75010069,"4.8 m height, 330 mm diameter"
7500100006,"2.5 m height, 330 mm diameter"
7500000043,"4.5 m height, 330 mm diameter"
75010393,~1153 x ~353 x ~180 x ~140 mm
CA5-400,31.5 x 14.3 x 4 inches (800 x 364 x 102 mm)
CA5-400 (410 MHz),31.3 x 14.1 inches (795 x 358 mm)
CA5-400 (460 MHz),28.6 x 13.3 inches (727 x 338 mm)
CA5-400 (490 MHz),27.9 x 11.4 inches (709 x 290 mm)
CA7-460,39.9 x 14.9 inches (1013 x 378 mm)
