Equipment Category,Manufacturer Name,Model Name,Dimensions,column4
RRU/RRH,Ericsson,5904W,400mm x 300mm x 150mm,
Dish,TBD,TBD,0.90m,
RRU/RRH,TBD,TBD,400mm x 300mm x 150mm,
Antenna,HUAWEI,ADU4518R6V06,1365mm x 269mm x 86mm,
RRU/RRH,Huawei,5508,400x300x150,
Antenna,TBD,TBD,1999mm x 349mm x 166mm,
RRU/RRH,Huawei,5904W,400X300X150,
Antenna,Huawei,ADU4516R6v06,1999x429x196,
Antenna,Huawei,ADU4518R6V06,1365x269x86,
RRU/RRH,Huawei,3952,400x300x170,
Antenna,Coomscope,LNX-6515DS-A1M,2650x180x301,
RRU/RRH,Huawei,3952,400mm x 300mm x 170mm,
Dish,Huawei,Huawei,1.2,
Antenna,Commscope,LNX-6515-DS-A1M,2650mm x 180mm x 301mm,
Dish,HUAWEI,,1.20m,
RRU/RRH,Huawei,5508,400x300x120,
Antenna,Huawei,LNX6515DS-A1M,2650x180.5x301,
RRU/RRH,Huawei,5508,400mm x 300mm x 120mm,
Dish,Huawei,Huawei,0.6,
Dish,HUAWEI,,0.60m,
RRU/RRH,Huawei,3952,400x300x150,
Antenna,Commscope,LDX-6516DS-VTM,2577x269x132,
RRU/RRH,Huawei,3952,400mm x 300mm x 150mm,
Antenna,Commscope,LDX-6516-DS-VTM,2577mm x 269mm x 132mm,
RRU/RRH,Huawei,5903,400mm x 300mm x 120mm,
Antenna,Commscope,LNX-6515-DS-VTM,2453mm x 301mm x 180.50mm,
RRU/RRH,Huawei,5508,480x356x140,
Dish,HUAWEI,A7W09MDD-3NX,0.90m,
Antenna,Commscope,LNX-6515DS-A1M-KT,2650mm x 301mm x 180mm,
RRU/RRH,Huawei,5508,480mm x 356mm x 140mm,
Dish,HUAWEI,VHLP2-15-NC3,0.60m,
Dish,Huawei,A7W09MDD-3NX,0.9,
Antenna,CommScope,LNX-6515DS-VTM,2650x301x180,
Dish,CommScope,VHLP2,0.6,
RRU/RRH,Huawei,5904W,400 x 300 x 150 mm,
Antenna,Huawei,ADU4518R1V06,1360 x 260 x 86 mm,
Antenna,PD,PD,PD,
Dish,PD,PD,1.20 m,
Antenna,Huawei,ADU4518R6v06,1365x269x86,
Antenna,Huawei,ADU4516R6V06,1999x429x96,
RRU/RRH,Ericsson,3942,485 x 380 x 170mm,
Antenna,HUAWEI,ADU4518R6V06,"1,365.00cm x 269.00cm x 86.00mm [537.4"" x 105.91"" x 3.39""]",
RRU/RRH,TBD,TBD,400 x 300 x 100mm,
Antenna,TBD,TBD,"1,999.00cm x 349.00cm x 166.00mm [787.01"" x 137.4"" x 6.54""]",
Dish,HUAWEI,A07S06HAC,0.90m,
Dish,HUAWEI,A07S06HAC,0.6,
RRU/RRH,Ericsson,5904,400 x 300 x 150mm,
Antenna,Huawei,AQU4518R23v18,1499x429x196,
Antenna,HUAWEI,ADU4518R6,1365 x 299 x 1090mm,
Antenna,TBD,TBD,1999 x 349 x 166mm,
RRU/RRH,Huawei,5512,480x356x140,
Dish,HUAWEI,,0.90m,
RRU/RRH,HUAWEI,5904W,400x300x350mm,
Antenna,HUAWEI,ADU4518R1V06,1365x299x109mm,
RRU/RRH,TBD,TBD,518x470x156mm,
Antenna,HUAWEI,AAU5339W,699x395x160mm,
Antenna,Huawei,AAU5339W,699x395x160,
Antenna,Huawei,ADU4518R6V06,1365x299x109,
Antenna,Huawei,ADU4518R1V06,1365x269x86,
Antenna,HUAWEI,ADU4518R1V06,1360mm x 260mm x 86mm,
Antenna,HUAWEI,ADU4518R1V06,1365mm x 269mm x 86mm,
RRU/RRH,Huawei,3908,485x380x170,
Antenna,Commscope,LDX-6515DS-VTM,2073mm x 269mm x 132mm,
RRU/RRH,Huawei,3942,485x380x170,
Antenna,Commscope,NNVV-65C-R4,2438mm x 498mm x 197mm,
RRU/RRH,Huawei,5301,400x300x100,
Antenna,Commscope,2UPX210B-T2,2533mm x 640mm x 235mm,
