equipment_category,manufacturer_name,model_name,dimensions
Antenna,Kathrein,7500100022,810 x 2490 x 1740 mm
Antenna,Kathrein,K5231187H,~810 x ~2490 x ~1740
Antenna,Unknown,75010008,2490mm x 1740mm x 850mm
Antenna,Kathrein,601768,2200 x 830
Antenna,Kathrein,CA5-400,800 x 364 x 102 mm
Antenna,Kathrein,K733147,910mm x 190mm x 1020mm
Antenna,Kathrein,7500100040,1300 x 1300 x 445 mm
Antenna,Kathrein,75010350,~1300 x ~1300 x ~405 mm
Antenna,TBD,75010295,2326 x 460 x 520
Antenna,Kathrein,K5231188V,810 x 1740 x 2500 mm
Antenna,Kathrein,CA5-400 (460 MHz),28 x 13 inches
Antenna,Unknown,75010212,1000 x 190 x 500
Antenna,Kathrein,600263,1400 x 1700 mm
Antenna,Kathrein,K523157,1200 x 1200 x 360
Antenna,Kathrein,7500100027,810 x 1740 x 2490 mm
Antenna,Kathrein,75010367,2625 x 900 x 870
Antenna,Unknown,CA5-400,31 x 14 x 4 inches
Antenna,Kathrein,75010066,1.4m height 330mm diameter
Antenna,TBD,K5231187H,810 x 2500 x 1750 mm
Antenna,Kathrein,75010999,1300 x 1300 x 400 mm
